Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_7,Rolling_Std_7,MA_7,MA_30,Volatility_7,Volatility_30,Cumulative_Return,Rolling_Max,Drawdown,RSI_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,Rolling_Return_Mean_30,Rolling_Return_Std_30,Sharpe_30,Future_Volatility_7,Risk_Label
2015-03-30,28.09945106506348,28.10612155024622,27.57246068163208,27.58357928791074,188398800,0.025314304362251017,27.859620230538503,0.016875620270184417,27.859620230538503,28.2711846669515,0.016875620270184417,0.014099185940487962,1.1604205528635423,29.573686599731445,-0.04984956913289773,54.0611639306314,27.99316301345825,0.4389777259718314,28.871118465401914,27.115207561514588,-9.056756679964121e-05,0.01409918594048796,-0.006423602552794389,0.011206757208682094,1
2015-03-31,27.668066024780277,28.126123955522612,27.652500998875254,28.03718022329657,168362400,-0.015352080696677817,27.812923976353236,0.017220924688115435,27.812923976353236,28.24598388671875,0.017220924688115435,0.0143199558562391,1.1426056828938977,29.573686599731445,-0.06443635522155267,54.85155303132517,27.93835096359253,0.40472636551199925,28.74780369461653,27.12889823256853,-0.0007990279629399466,0.0143199558562391,-0.05579821411193918,0.008855791084999991,0
2015-04-01,27.6280517578125,27.821504320484596,27.37233906824674,27.75479607226353,162485600,-0.0014462256571146082,27.71889850071498,0.01641340621258215,27.71889850071498,28.212852478027344,0.01641340621258215,0.014244893266244845,1.1409532172393317,29.573686599731445,-0.06578939136849493,49.5131638897276,27.89065523147583,0.38036079115857063,28.65137681379297,27.129933649158687,-0.0010793210042610208,0.014244893266244844,-0.07576897798305127,0.00890212183495009,0
2015-04-02,27.86597442626953,27.919340005191067,27.614709866405345,27.801490240861305,128880400,0.008611633948808928,27.675379616873606,0.016995897017609663,27.675379616873606,28.18965301513672,0.016995897017609663,0.014352276649257483,1.1507786886989126,29.573686599731445,-0.057744311575866236,54.16866127110662,27.878536701202393,0.3769053640156944,28.632347429233782,27.124725973171003,-0.0007223486228812896,0.014352276649257483,-0.05032989821295427,0.008886106097343634,0
2015-04-06,28.31736183166504,28.35294001500725,27.645839737461767,27.676969799655623,148776000,0.016198515023755355,27.801488876342773,0.014011411266833302,27.801488876342773,28.17371743520101,0.014011411266833302,0.014596490343806546,1.1694195945768195,29.573686599731445,-0.042481168650709056,55.602293505605196,27.886875057220458,0.3849987550011209,28.6568725672227,27.116877547218216,-0.0004548711719525089,0.014596490343806546,-0.031163050927890748,0.00622245357312597,0
2015-04-07,28.01940155029297,28.488576533226613,28.01273106518156,28.38184537852191,140049200,-0.010522176576452269,27.85771451677595,0.015043874267570171,27.85771451677595,28.12190793355306,0.015043874267570171,0.013743664570645459,1.157114755110719,29.573686599731445,-0.052556350869444546,47.5084014677358,27.87431173324585,0.37580553965596253,28.625922812557775,27.122700653933926,-0.0017065142160836914,0.013743664570645459,-0.12416733596136846,0.004953398896427624,0
2015-04-08,27.9282283782959,28.10611586399861,27.78814312841605,27.9838180055204,149316800,-0.0032539300253583425,27.932362147739955,0.01461647336502281,27.932362147739955,28.073211479187012,0.01461647336502281,0.013720483270670816,1.1533495846662791,29.573686599731445,-0.05563926620668558,42.69711086820632,27.886430072784425,0.37330830585693026,28.633046684498286,27.139813461070563,-0.0016069506131841918,0.013720483270670814,-0.11712055482908844,0.006547532952690241,0
2015-04-09,28.14168930053711,28.14613742025217,27.71920953647876,27.98381497986446,129936000,0.007643195957502957,27.938396181379044,0.011206757208682094,27.938396181379044,28.05668265024821,0.011206757208682094,0.0130433163949122,1.1621648615493883,29.573686599731445,-0.04842133206373189,47.60679150515915,27.934459400177,0.3379004098292739,28.61026021983555,27.258658580518453,-0.0004997442815309487,0.013043316394912198,-0.038314203719376445,0.01092885637436174,1
2015-04-10,28.26177024841309,28.286229823663,27.852631346889225,28.006057586730154,160752000,0.004267012779282098,28.023211070469447,0.008855791084999991,28.023211070469447,28.032074864705404,0.008855791084999991,0.01283986992328683,1.167123833865252,29.573686599731445,-0.04436093372715555,53.22928535418358,27.96392183303833,0.3395443796189218,28.643010592276173,27.28483307380049,-0.0007793920416894677,0.012839869923286827,-0.06070092970925941,0.011089936106177381,1
2015-04-13,28.2061824798584,28.588641163945205,28.1528169014454,28.544166738422263,145460400,-0.00196688912499432,28.10580117361886,0.00890212183495009,28.10580117361886,28.0201416015625,0.00890212183495009,0.012558408231475573,1.1648282306889008,29.573686599731445,-0.046240569814027355,48.97261950691216,28.000166130065917,0.3236313199982821,28.647428770062483,27.35290349006935,-0.0003440085950249213,0.01255840823147557,-0.027392690911474015,0.012155435416096087,1
2015-04-14,28.08388900756836,28.30402352421156,27.99716929808888,28.23953933318248,102098400,-0.004335697408799133,28.136931828090123,0.008886106097343634,28.136931828090123,27.999462509155272,0.008886106097343634,0.012538547621074399,1.159777887947407,29.573686599731445,-0.05037578210410243,48.888914956355734,28.01517572402954,0.3200043032328839,28.655184330495306,27.375167117563773,-0.0006520016187061883,0.012538547621074396,-0.05199977209563925,0.011978797137599494,1
2015-04-15,28.190616607666016,28.26844176062561,28.01940127115491,28.108345030163488,115881600,0.0038003141256146566,28.118825367518834,0.00622245357312597,28.118825367518834,27.98033949534098,0.00622245357312597,0.012555308222413923,1.1641854082375491,29.573686599731445,-0.04676691177480685,61.54897765097472,28.012284755706787,0.31804123640986653,28.64836722852652,27.376202282887053,-0.0005950530842879443,0.01255530822241392,-0.047394542112924536,0.01198329220814434,1
2015-04-16,28.054975509643555,28.26176901177812,28.041634540622283,28.0794350838232,113476000,-0.004811569037676766,28.123907361711776,0.004953398896427624,28.123907361711776,27.96277313232422,0.004953398896427624,0.012534289523645215,1.1585838497731582,29.573686599731445,-0.05135345858780016,56.66901415965077,27.986713314056395,0.2905122829507323,28.56773787995786,27.40568874815493,-0.000544134454639574,0.012534289523645213,-0.04341167112927269,0.012326398186119284,1
2015-04-17,27.73922538757324,28.04830359485218,27.674741213157088,27.91711288227029,207828000,-0.011254692486250106,28.096906934465682,0.006547532952690241,28.096906934465682,27.950469144185384,0.006547532952690241,0.012335915213423346,1.1455443448244256,29.573686599731445,-0.062030183689539276,55.0334477041403,27.956138706207277,0.2822471299924656,28.52063296619221,27.391644446222344,-0.00036693632931926364,0.012335915213423343,-0.029745367325480755,0.013512633883669554,1
2015-04-20,28.37295150756836,28.48857721065811,27.83262014670152,27.92156390871118,188217200,0.02284584775316123,28.129944392613,0.01092885637436174,28.129944392613,27.957881037394205,0.01092885637436174,0.013042664558181054,1.1717152765207792,29.573686599731445,-0.04060146806904996,54.20367537598926,27.975039291381837,0.2972406564575019,28.56952060429684,27.380557978466832,0.00034448856477726033,0.01304266455818105,0.026412437676408603,0.013443012963339326,1
2015-04-21,28.21952438354492,28.50636542004473,28.166157110114217,28.48413160080693,129740400,-0.005407513701297995,28.12390926906041,0.011089936106177381,28.12390926906041,27.956176249186196,0.011089936106177381,0.013061941392035077,1.165379210108973,29.573686599731445,-0.04578942877547176,59.26773117960384,27.97170400619507,0.29392076585965443,28.559545537914378,27.38386247447576,2.2058378280853664e-05,0.013061941392035073,0.0016887518952048313,0.017211589202264996,2
2015-04-22,28.599756240844727,28.655345879560677,28.08833258253471,28.23731240714277,150618000,0.013474070368157065,28.180134092058456,0.012155435416096087,28.180134092058456,27.986639404296874,0.012155435416096087,0.012677773012593029,1.1810816115915685,29.573686599731445,-0.032932328392753174,64.65453809064378,27.993161487579346,0.3233930155570995,28.639947518693546,27.346375456465147,0.0011607266871106025,0.012677773012593025,0.0915560395313621,0.020575436570700743,2
