Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,39.858455657958984,40.42104281785247,39.67092877243913,39.77321646014696,27913900
2015-01-05,39.491920471191406,39.832880479271,39.423726518575506,39.52601419583272,39673900
2015-01-06,38.91228485107422,39.84992893716437,38.81851979213187,39.534540035721925,36447900
2015-01-07,39.40667724609375,39.602729978462385,38.77589945528449,39.19357602591046,29114100
2015-01-08,40.56595993041992,40.70234462002241,39.82436838393563,39.84993949709,29645200
2015-01-09,40.22498321533203,40.761999174816154,39.977788283082496,40.582994938876915,23944200
2015-01-12,39.722076416015625,40.52333929222615,39.51750101265745,40.42104833887965,23651900
2015-01-13,39.517494201660156,40.838721230493306,39.261773365703235,40.037461744050454,35270600
2015-01-14,39.17653274536133,39.41520835482416,38.886714917323395,39.17653274536133,29719600
2015-01-15,38.767372131347656,39.53453779589711,38.70770405206786,39.398153150162365,32750800
2015-01-16,39.41520690917969,39.44930063642363,38.50313060748315,38.622470033671014,35695300
2015-01-20,39.543060302734375,39.7646873837232,38.84408858884612,39.46634373649462,36161900
2015-01-21,39.1424446105957,39.329974792194434,38.76738749906599,39.15949310452902,39081100
2015-01-22,40.17386245727539,40.18238507949002,39.27883754800476,39.53455848612949,35898000
2015-01-23,40.21645736694336,40.39546158850258,39.892542643408,40.36989048589873,26211600
2015-01-26,40.07155227661133,40.17384320417335,39.415203375587915,40.06302965848112,42525500
2015-01-27,36.36359405517578,36.823893496148486,35.894771995666574,36.61079226440187,169164000
2015-01-28,35.110565185546875,36.47441530770139,35.08499407287132,36.43179570268631,84507100
2015-01-29,35.80951690673828,35.90328193586271,34.769585474173795,34.888921601544666,63585300
2015-01-30,34.43715286254883,35.442990717806396,34.39453002413446,35.41741636442457,78004900
2015-02-02,35.1872673034668,35.26398386160902,34.2922429595849,34.5991091921538,50352500
2015-02-03,35.460044860839844,35.74134005705573,34.99122278548022,35.485619220647465,52082400
2015-02-04,35.66462326049805,35.9800121817297,35.25546927444073,35.749862454884926,41614800
2015-02-05,36.18459701538086,36.346552813198954,35.68167787812034,35.98854423328505,36548200
2015-02-06,36.150489807128906,36.47440456282387,35.928865975337494,36.38063950841219,34616600
2015-02-09,36.107872009277344,36.43178678107129,35.98000997387623,36.005584331956435,31381100
2015-02-10,36.31245040893555,36.45736094465286,35.95444188245789,36.43178983609501,29670700
2015-02-11,36.12491989135742,36.355069600218116,35.98000937022295,36.355069600218116,38262500
2015-02-12,36.730133056640625,36.730133056640625,36.23573657596541,36.363598631772355,33268800
2015-02-13,37.3950080871582,37.3950080871582,36.781278671250845,36.977331439688896,40264900
2015-02-17,37.412174224853516,37.77273053532858,37.077367726088404,37.74697744881109,33695700
2015-02-18,37.36924743652344,37.51518923228707,37.249062001663674,37.45509651485719,27111700
2015-02-19,37.343482971191406,37.36923604944036,36.957170423424685,37.06877255384762,27603400
2015-02-20,37.65254211425781,37.669711928844485,37.16321386036313,37.35207527120197,29721100
2015-02-23,37.9015007019043,37.93583705734693,37.472265148201224,37.51518804861006,32518800
2015-02-24,37.84998321533203,38.03026132363362,37.70404145517835,37.901492649763924,25271700
2015-02-25,37.76414489746094,37.84999069700958,37.60103329358825,37.72980526771855,29759800
2015-02-26,37.82422637939453,37.97016485024914,37.67828463373356,37.764133682594824,28957300
2015-02-27,37.64394760131836,37.94441438077322,37.48083930948167,37.884321679843566,33807700
2015-03-02,37.669708251953125,37.93583216505233,37.3864112511362,37.48942685379374,31924000
2015-03-03,37.15463638305664,37.62679821240051,36.99152801688845,37.395010571124814,31748600
2015-03-04,36.96576690673828,37.09453560741752,36.8112418460773,36.9228407317045,25748700
2015-03-05,37.008689880371094,37.12029204102703,36.75973247383378,36.9743502501989,23193500
2015-03-06,36.36484146118164,37.008694877208775,36.18456329064792,36.914262518888876,36248800
2015-03-09,36.78548049926758,37.02585460260241,36.21888977858971,36.21888977858971,32108000
2015-03-10,36.0815544128418,36.66531526757765,36.0815544128418,36.35626501803411,39159700
2015-03-11,36.03861618041992,36.37341938354996,35.91843075107143,36.321913213719085,32215300
2015-03-12,35.21448516845703,35.75532288229614,35.07712992246062,35.480612390303314,59992500
2015-03-13,35.52355194091797,35.6008145076802,34.862528486354186,34.93979105311642,58007700
2015-03-16,35.678070068359375,35.7467460726572,35.437695866296295,35.600807516769144,35273500
2015-03-17,35.798248291015625,35.909850459584945,35.326089804494416,35.51495123421833,31673400
2015-03-18,36.48502731323242,36.76832439133706,35.48061754498768,35.56646335815449,44194800
2015-03-19,36.304744720458984,36.56228540341075,36.24465200359715,36.27898835979859,33879100
2015-03-20,36.811241149902344,36.89708694873165,36.476437949737814,36.536530663879795,71904500
2015-03-23,36.79407501220703,37.025862621978725,36.725395746434245,36.811244828650224,26246100
2015-03-24,36.82841491699219,37.06019925366748,36.69964293012133,36.725396017572436,25513300
2015-03-25,35.59220886230469,36.85416235073839,35.57503904836871,36.84557580636682,43469900
2015-03-26,35.377593994140625,35.72098375133459,35.12863658391537,35.38618053921456,37495600
2015-03-27,35.17156982421875,35.56646583194528,35.051384367502685,35.30033855292535,34401400
2015-03-30,35.16299057006836,35.66090559379524,35.120067651597466,35.28317605171036,35049700
2015-03-31,34.90543746948242,35.22307088387362,34.80242184653537,35.00845309242948,34887200
2015-04-01,34.956947326660156,34.991283684838486,34.604974275573,34.85392842770222,36865300
2015-04-02,34.58781051635742,34.974123268084554,34.441868688012406,34.90544399008497,37487500
2015-04-06,35.669471740722656,35.86691969073033,34.493367310326015,34.63072254836645,39223700
2015-04-07,35.65229034423828,35.9785101566578,35.463429000042666,35.720969578350235,28809400
2015-04-08,35.55787658691406,35.78966421076695,35.23165987909844,35.5922162218866,24753400
2015-04-09,35.609378814697266,35.72956423790927,35.41193086587651,35.41193086587651,25723900
2015-04-10,35.81541442871094,36.01286238371052,35.54928721555118,35.73815190068438,28022000
2015-04-13,35.84974670410156,36.10729061809232,35.532113358268376,35.54069990196508,30276700
2015-04-14,35.75532913208008,36.08154585158737,35.532124771566714,35.88409785563044,24244400
2015-04-15,36.278987884521484,36.45068276250917,35.78107634064535,35.84975232695598,27343600
2015-04-16,36.193138122558594,36.34766316835813,35.90125784436026,36.012859994061486,22509700
2015-04-17,35.72957229614258,35.832591203393285,35.3346763094386,35.772495203426416,42387600
2015-04-20,36.83699417114258,37.06019521259872,35.78107512828571,35.82399802762644,46057700
2015-04-21,36.605201721191406,37.04302375079226,36.51076939030468,36.914251795072744,26013800
2015-04-22,36.905677795410156,37.025863237703525,36.52794837699363,36.63096400255827,25064300
2015-04-23,37.206138610839844,37.437926207082974,36.742563418353576,36.81982595043462,46309500
2015-04-24,41.09501266479492,41.326800266191924,39.18920895576546,39.197792226273116,130933700
2015-04-27,41.232364654541016,41.31821372686339,40.53700518016973,40.54558844999834,59248200
2015-04-28,42.20245361328125,42.245376528035045,40.949086163542866,41.01776217218725,60730800
2015-04-29,42.116600036621094,42.331217845720616,41.635854965307324,41.82471968525343,47804600
2015-04-30,41.75604248046875,42.528667941378686,41.72170284335985,41.80755193613209,64725500
2015-05-01,41.77320098876953,41.96206566692458,41.549999957610325,41.70452500795407,38937300
2015-05-04,41.412654876708984,41.953489410732615,41.361145422360465,41.524253782252174,34039500
2015-05-05,40.86323547363281,41.3439806147233,40.61428126779743,41.052100220991285,50369200
2015-05-06,39.73004913330078,41.00917276025879,39.50684804510821,40.83747785213713,52433000
2015-05-07,40.09061813354492,40.42542148145234,39.62704275576138,39.72147514102937,32971700
2015-05-08,40.99199295043945,41.18944090046994,40.79454500040897,40.82029808416727,35364900
2015-05-11,40.665775299072266,41.129350481408764,40.665775299072266,40.820300359851096,24609400
2015-05-12,40.64860916137695,40.93190622336972,39.85023070006163,40.21937357033894,29928300
2015-05-13,40.888980865478516,41.48132476663364,40.83747141871427,41.36972260271486,34184600
2015-05-14,41.824710845947266,41.910556641521126,41.2323637221432,41.2323637221432,32980900
2015-05-15,41.46416473388672,41.98783277104854,41.24954690061111,41.95349313177046,28642700
2015-05-18,41.21520233154297,41.39548377878511,40.87181580425973,41.189449242568884,24136500
2015-05-19,41.11150360107422,41.31023472013699,40.765882257258454,41.094222204274494,28574800
2015-05-20,41.11150360107422,41.41391980484596,40.84364689481253,40.94733197952149,25047900
2015-05-21,40.9732780456543,41.12880741800884,40.61901742997815,40.852311488509976,22410700
2015-05-22,40.52396011352539,40.912780109015415,40.45483450787098,40.869578253526555,25720600
2015-05-26,40.256107330322266,40.5066827315484,39.910485859935136,40.46348087177267,29581900
2015-05-27,41.1374397277832,41.27568765878489,40.28202838864793,40.454839126422705,27335600
2015-05-28,40.99919891357422,41.49170745926485,40.947354694415274,41.042400781494386,19283700
